fact_id,DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
1,20170217,95,100,5,12,936,75.18701736,124.7782282,736.0347544
2,20221217,196,70,93,10,361,41.08179815,30.32887692,289.5893249
3,20190304,76,77,103,19,243,16.64491998,14.47893045,211.8761496
4,20231128,159,81,45,12,903,122.9527241,90.26639339,689.7808825
5,20181017,107,19,57,5,322,29.69214918,33.10698712,259.2008637
6,20231202,72,55,102,11,186,13.63186353,14.47922191,157.8889146
7,20140413,117,98,36,11,444,57.43741505,60.16228801,326.4002969
8,20181230,36,86,152,10,811,72.77449219,107.9824408,630.243067
9,20141224,234,60,48,14,210,16.35650987,10.51378778,183.1297023
10,20220602,117,54,80,4,395,54.57981305,47.64626684,292.7739201
11,20190109,243,44,46,8,983,100.3448512,83.62943791,799.0257109
12,20230723,39,5,94,1,286,37.84966494,23.25094712,224.8993879
13,20141224,108,39,94,11,208,15.29221919,28.48045458,164.2273262
14,20201129,122,28,138,7,487,14.68996596,40.64357578,431.6664583
15,20150620,205,55,176,17,203,5.972844419,18.04035857,178.986797
16,20170714,160,65,13,5,242,11.73509406,19.3822773,210.8826286
17,20211223,62,13,14,18,650,52.14553571,92.74105934,505.113405
18,20170517,141,69,38,12,665,14.7028975,50.1970019,600.1001006
19,20240409,36,78,136,15,692,72.28794073,75.03422242,544.6778369
20,20240106,132,17,112,2,413,49.24615808,61.03006334,302.7237786
21,20240329,83,80,9,17,646,81.9988601,85.55531499,478.4458249
22,20150319,130,70,148,19,638,54.37942239,61.67827738,521.9423002
23,20180917,179,3,43,14,592,85.28712355,59.7710304,446.9418461
24,20190910,88,55,33,10,837,52.63653666,71.25270611,713.1107572
25,20221213,212,24,102,8,137,11.80417208,20.43902393,104.756804
26,20170821,153,91,72,10,193,16.29598767,15.76294318,160.9410692
27,20170526,168,14,20,9,652,70.6588561,41.31768289,540.023461
28,20200611,99,83,191,2,442,65.09731197,44.88670394,332.0159841
29,20220713,124,60,78,19,776,78.21572478,107.3299512,590.454324
30,20200607,101,91,60,7,482,55.2336116,30.47205877,396.2943296
31,20230909,55,9,167,6,285,23.11689073,27.80488123,234.078228
32,20160409,82,100,92,7,959,64.45197412,75.82934965,818.7186762
33,20160127,73,72,59,11,557,73.56461909,29.13773923,454.2976417
34,20230329,38,19,51,16,856,42.34435886,120.9023845,692.7532566
35,20181228,146,100,55,13,905,104.9431901,58.48993033,741.5668796
36,20200331,97,1,72,6,516,44.67471398,60.53070592,410.7945801
37,20150819,203,38,144,19,917,86.5139811,80.5284505,749.9575684
